delta_m,i_d,v_r,v_g,v_b
1,0.002142800,0.000000,0.000000,0.000000
1,0.002164228,0.000000,0.000000,0.000000
1,0.002185870,0.003922,0.003922,0.003922
1,0.002207729,0.000000,0.000000,0.000000
1,0.002229806,0.003922,0.003922,0.003922
1,0.002252104,0.000000,0.000000,0.000000
1,0.002274625,0.000000,0.000000,0.000000
1,0.002297371,0.000000,0.000000,0.000000
1,0.002320345,0.000000,0.000000,0.000000
1,0.002343548,0.000000,0.000000,0.000000
1,0.002366984,0.003922,0.003922,0.003922
1,0.002390653,0.003922,0.003922,0.003922
1,0.002414560,0.003922,0.003922,0.003922
1,0.002438705,0.000000,0.000000,0.000000
1,0.002463093,0.000000,0.000000,0.000000
1,0.002487723,0.003922,0.003922,0.003922
1,0.002512601,0.000000,0.000000,0.000000
1,0.002537727,0.000000,0.000000,0.000000
1,0.002563104,0.003922,0.003922,0.003922
1,0.002588735,0.000000,0.000000,0.000000
1,0.002614622,0.003922,0.003922,0.003922
1,0.002640768,0.000000,0.000000,0.000000
1,0.002667176,0.000000,0.000000,0.000000
1,0.002693848,0.000000,0.000000,0.000000
1,0.002720786,0.000000,0.000000,0.000000
1,0.002747994,0.000000,0.000000,0.000000
1,0.002775474,0.003922,0.003922,0.003922
1,0.002803229,0.003922,0.003922,0.003922
1,0.002831261,0.003922,0.003922,0.003922
1,0.002859574,0.000000,0.000000,0.000000
1,0.002888169,0.000000,0.000000,0.000000
1,0.002917051,0.003922,0.003922,0.003922
1,0.002946222,0.000000,0.000000,0.000000
1,0.002975684,0.000000,0.000000,0.000000
1,0.003005441,0.003922,0.003922,0.003922
1,0.003035495,0.000000,0.000000,0.000000
1,0.003065850,0.003922,0.003922,0.003922
1,0.003096508,0.000000,0.000000,0.000000
1,0.003127473,0.000000,0.000000,0.000000
1,0.003158748,0.000000,0.000000,0.000000
1,0.003190336,0.000000,0.000000,0.000000
1,0.003222239,0.000000,0.000000,0.000000
1,0.003254461,0.003922,0.003922,0.003922
1,0.003287006,0.003922,0.003922,0.003922
1,0.003319876,0.003922,0.003922,0.003922
1,0.003353075,0.000000,0.000000,0.000000
1,0.003386605,0.000000,0.000000,0.000000
1,0.003420471,0.003922,0.003922,0.003922
1,0.003454676,0.000000,0.000000,0.000000
1,0.003489223,0.000000,0.000000,0.000000
1,0.003524115,0.003922,0.003922,0.003922
