delta,light_intensity,grey_out
14,1.092055000,165
14,1.310466000,0
14,1.572559000,0
14,1.887071000,0
14,2.264486000,0
14,2.717383000,0
14,3.260860000,0
14,3.913032000,0
14,4.695638000,0
14,5.634766000,0
14,6.761720000,0
14,8.114064000,0
14,9.736877000,0
14,11.684250000,0
14,14.021100000,0
14,16.825330000,0
14,20.190390000,0
14,24.228470000,0
14,29.074170000,0
14,34.889000000,0
14,41.866810000,1
14,50.240170000,0
14,60.288200000,1
14,72.345850000,0
14,86.815020000,0
14,104.178000000,1
14,125.013600000,0
15,0.000100000,0
15,0.000120000,0
15,0.000144000,0
15,0.000172800,0
15,0.000207360,0
15,0.000248832,0
15,0.000298599,0
15,0.000358318,0
15,0.000429982,0
15,0.000515978,0
15,0.000619174,0
15,0.000743009,0
15,0.000891611,0
15,0.001069933,0
15,0.001283919,0
15,0.001540703,0
15,0.001848844,0
15,0.002218613,0
15,0.002662335,0
15,0.003194802,0
15,0.003833763,0
15,0.004600516,0
15,0.005520619,0
15,0.006624744,0
15,0.007949693,0
15,0.009539632,1
15,0.011447560,0
15,0.013737070,1
15,0.016484490,0
15,0.019781380,0
15,0.023737660,1
15,0.028485200,0
15,0.034182240,0
15,0.041018690,0
15,0.049222430,0
15,0.059066920,0
15,0.070880300,0
15,0.085056360,0
15,0.102067600,0
15,0.122481200,0
15,0.146977400,0
15,0.176372900,0
15,0.211647500,0
15,0.253977000,0
15,0.304772400,0
15,0.365726900,0
15,0.438872300,0
15,0.526646700,0
15,0.631976100,0
15,0.758371400,0
15,0.910045700,40
15,1.092055000,205
15,1.310466000,233
15,1.572559000,130
15,1.887071000,0
15,2.264486000,0
15,2.717383000,0
15,3.260860000,1
15,3.913032000,0
15,4.695638000,1
15,5.634766000,0
15,6.761720000,0
15,8.114064000,1
15,9.736877000,0
15,11.684250000,0
15,14.021100000,0
15,16.825330000,0
15,20.190390000,0
15,24.228470000,0
15,29.074170000,0
15,34.889000000,0
15,41.866810000,0
15,50.240170000,0
15,60.288200000,0
15,72.345850000,0
15,86.815020000,0
15,104.178000000,0
15,125.013600000,0
16,0.000100000,0
16,0.000120000,0
16,0.000144000,0
16,0.000172800,0
16,0.000207360,0
16,0.000248832,0
16,0.000298599,0
16,0.000358318,0
16,0.000429982,0
16,0.000515978,0
16,0.000619174,0
16,0.000743009,1
16,0.000891611,0
16,0.001069933,1
16,0.001283919,0
16,0.001540703,0
16,0.001848844,1
16,0.002218613,0
16,0.002662335,0
16,0.003194802,0
16,0.003833763,0
16,0.004600516,0
16,0.005520619,0
16,0.006624744,0
16,0.007949693,0
16,0.009539632,0
16,0.011447560,0
16,0.013737070,0
16,0.016484490,0
16,0.019781380,0
16,0.023737660,0
16,0.028485200,0
16,0.034182240,0
16,0.041018690,0
16,0.049222430,0
16,0.059066920,0
16,0.070880300,0
16,0.085056360,0
16,0.102067600,0
16,0.122481200,0
16,0.146977400,0
16,0.176372900,0
16,0.211647500,0
16,0.253977000,1
16,0.304772400,0
16,0.365726900,1
16,0.438872300,0
16,0.526646700,0
16,0.631976100,1
16,0.758371400,0
16,0.910045700,0
16,1.092055000,1
16,1.310466000,116
16,1.572559000,227
16,1.887071000,205
16,2.264486000,71
16,2.717383000,0
16,3.260860000,0
16,3.913032000,0
16,4.695638000,0
16,5.634766000,0
16,6.761720000,0
16,8.114064000,0
16,9.736877000,0
16,11.684250000,0
16,14.021100000,0
16,16.825330000,0
16,20.190390000,0
16,24.228470000,0
16,29.074170000,0
16,34.889000000,0
16,41.866810000,0
16,50.240170000,0
16,60.288200000,0
16,72.345850000,0
